+------------------------------------+-------+---------+-----------+
| Material List for schematic 'Kayzm MS V3.3' (4 of 4 regions)     |
+------------------------------------+-------+---------+-----------+
| Item                               | Total | Missing | Available |
| Blue Orchid                        |     2 |       2 |         0 |
| Dark Oak Pressure Plate            |     2 |       2 |         0 |
| Dark Oak Sapling                   |     2 |       2 |         0 |
| Glass Pane                         |     2 |       2 |         0 |
| Grindstone                         |     2 |       2 |         0 |
| Magma Block                        |     2 |       2 |         0 |
| Mangrove Sign                      |     2 |       2 |         0 |
| Oak Fence Gate                     |     2 |       2 |         0 |
| Oxeye Daisy                        |     2 |       2 |         0 |
| Podzol                             |     2 |       2 |         0 |
| Sand                               |     2 |       2 |         0 |
| Small Amethyst Bud                 |     2 |       2 |         0 |
| Snow                               |     2 |       2 |         0 |
| Stone Slab                         |     2 |       2 |         0 |
| String                             |     2 |       2 |         0 |
| Tube Coral Fan                     |     2 |       2 |         0 |
| Acacia Leaves                      |     1 |       1 |         0 |
| Acacia Planks                      |     1 |       1 |         0 |
| Acacia Slab                        |     1 |       1 |         0 |
| Acacia Stairs                      |     1 |       1 |         0 |
| Amethyst Cluster                   |     1 |       1 |         0 |
| Andesite                           |     1 |       1 |         0 |
| Andesite Slab                      |     1 |       1 |         0 |
| Andesite Stairs                    |     1 |       1 |         0 |
| Andesite Wall                      |     1 |       1 |         0 |
| Anvil                              |     1 |       1 |         0 |
| Azalea                             |     1 |       1 |         0 |
| Basalt                             |     1 |       1 |         0 |
| Birch Leaves                       |     1 |       1 |         0 |
| Birch Log                          |     1 |       1 |         0 |
| Birch Planks                       |     1 |       1 |         0 |
| Birch Slab                         |     1 |       1 |         0 |
| Birch Stairs                       |     1 |       1 |         0 |
| Black Concrete Powder              |     1 |       1 |         0 |
| Black Glazed Terracotta            |     1 |       1 |         0 |
| Black Shulker Box                  |     1 |       1 |         0 |
| Black Terracotta                   |     1 |       1 |         0 |
| Black Wool                         |     1 |       1 |         0 |
| Blackstone                         |     1 |       1 |         0 |
| Blackstone Slab                    |     1 |       1 |         0 |
| Blackstone Stairs                  |     1 |       1 |         0 |
| Blackstone Wall                    |     1 |       1 |         0 |
| Block of Coal                      |     1 |       1 |         0 |
| Block of Diamond                   |     1 |       1 |         0 |
| Block of Emerald                   |     1 |       1 |         0 |
| Block of Quartz                    |     1 |       1 |         0 |
| Blue Carpet                        |     1 |       1 |         0 |
| Blue Concrete Powder               |     1 |       1 |         0 |
| Blue Glazed Terracotta             |     1 |       1 |         0 |
| Blue Ice                           |     1 |       1 |         0 |
| Blue Stained Glass Pane            |     1 |       1 |         0 |
| Blue Terracotta                    |     1 |       1 |         0 |
| Blue Wool                          |     1 |       1 |         0 |
| Bone Block                         |     1 |       1 |         0 |
| Brain Coral Block                  |     1 |       1 |         0 |
| Brain Coral Fan                    |     1 |       1 |         0 |
| Brick Slab                         |     1 |       1 |         0 |
| Brick Stairs                       |     1 |       1 |         0 |
| Brick Wall                         |     1 |       1 |         0 |
| Bricks                             |     1 |       1 |         0 |
| Brown Carpet                       |     1 |       1 |         0 |
| Brown Concrete                     |     1 |       1 |         0 |
| Brown Concrete Powder              |     1 |       1 |         0 |
| Brown Glazed Terracotta            |     1 |       1 |         0 |
| Brown Mushroom Block               |     1 |       1 |         0 |
| Brown Stained Glass                |     1 |       1 |         0 |
| Brown Stained Glass Pane           |     1 |       1 |         0 |
| Brown Terracotta                   |     1 |       1 |         0 |
| Brown Wool                         |     1 |       1 |         0 |
| Bubble Coral Block                 |     1 |       1 |         0 |
| Bubble Coral Fan                   |     1 |       1 |         0 |
| Cake                               |     1 |       1 |         0 |
| Calcite                            |     1 |       1 |         0 |
| Campfire                           |     1 |       1 |         0 |
| Cartography Table                  |     1 |       1 |         0 |
| Chiseled Bookshelf                 |     1 |       1 |         0 |
| Chiseled Deepslate                 |     1 |       1 |         0 |
| Chiseled Nether Bricks             |     1 |       1 |         0 |
| Chiseled Polished Blackstone       |     1 |       1 |         0 |
| Chiseled Quartz Block              |     1 |       1 |         0 |
| Chiseled Red Sandstone             |     1 |       1 |         0 |
| Chiseled Sandstone                 |     1 |       1 |         0 |
| Chiseled Stone Bricks              |     1 |       1 |         0 |
| Clay                               |     1 |       1 |         0 |
| Coarse Dirt                        |     1 |       1 |         0 |
| Cobbled Deepslate                  |     1 |       1 |         0 |
| Cobbled Deepslate Slab             |     1 |       1 |         0 |
| Cobbled Deepslate Stairs           |     1 |       1 |         0 |
| Cobbled Deepslate Wall             |     1 |       1 |         0 |
| Cobblestone                        |     1 |       1 |         0 |
| Cobblestone Slab                   |     1 |       1 |         0 |
| Cobblestone Stairs                 |     1 |       1 |         0 |
| Cobblestone Wall                   |     1 |       1 |         0 |
| Cobweb                             |     1 |       1 |         0 |
| Cracked Deepslate Bricks           |     1 |       1 |         0 |
| Cracked Deepslate Tiles            |     1 |       1 |         0 |
| Cracked Nether Bricks              |     1 |       1 |         0 |
| Cracked Polished Blackstone Bricks |     1 |       1 |         0 |
| Cracked Stone Bricks               |     1 |       1 |         0 |
| Crimson Fungus                     |     1 |       1 |         0 |
| Crimson Nylium                     |     1 |       1 |         0 |
| Crimson Planks                     |     1 |       1 |         0 |
| Crimson Roots                      |     1 |       1 |         0 |
| Crimson Slab                       |     1 |       1 |         0 |
| Crimson Stairs                     |     1 |       1 |         0 |
| Crimson Stem                       |     1 |       1 |         0 |
| Cut Red Sandstone                  |     1 |       1 |         0 |
| Cut Red Sandstone Slab             |     1 |       1 |         0 |
| Cut Sandstone                      |     1 |       1 |         0 |
| Cut Sandstone Slab                 |     1 |       1 |         0 |
| Cyan Carpet                        |     1 |       1 |         0 |
| Cyan Concrete                      |     1 |       1 |         0 |
| Cyan Concrete Powder               |     1 |       1 |         0 |
| Cyan Glazed Terracotta             |     1 |       1 |         0 |
| Cyan Stained Glass                 |     1 |       1 |         0 |
| Cyan Stained Glass Pane            |     1 |       1 |         0 |
| Cyan Terracotta                    |     1 |       1 |         0 |
| Cyan Wool                          |     1 |       1 |         0 |
| Dandelion                          |     1 |       1 |         0 |
| Dark Oak Leaves                    |     1 |       1 |         0 |
| Dark Oak Log                       |     1 |       1 |         0 |
| Dark Oak Planks                    |     1 |       1 |         0 |
| Dark Prismarine                    |     1 |       1 |         0 |
| Dark Prismarine Slab               |     1 |       1 |         0 |
| Dark Prismarine Stairs             |     1 |       1 |         0 |
| Dead Brain Coral Block             |     1 |       1 |         0 |
| Dead Brain Coral Fan               |     1 |       1 |         0 |
| Dead Bubble Coral Block            |     1 |       1 |         0 |
| Dead Bubble Coral Fan              |     1 |       1 |         0 |
| Dead Fire Coral Block              |     1 |       1 |         0 |
| Dead Fire Coral Fan                |     1 |       1 |         0 |
| Dead Horn Coral Block              |     1 |       1 |         0 |
| Dead Horn Coral Fan                |     1 |       1 |         0 |
| Dead Tube Coral Block              |     1 |       1 |         0 |
| Dead Tube Coral Fan                |     1 |       1 |         0 |
| Deepslate                          |     1 |       1 |         0 |
| Deepslate Coal Ore                 |     1 |       1 |         0 |
| Deepslate Tile Slab                |     1 |       1 |         0 |
| Deepslate Tile Stairs              |     1 |       1 |         0 |
| Deepslate Tile Wall                |     1 |       1 |         0 |
| Deepslate Tiles                    |     1 |       1 |         0 |
| Diorite                            |     1 |       1 |         0 |
| Diorite Slab                       |     1 |       1 |         0 |
| Diorite Stairs                     |     1 |       1 |         0 |
| Diorite Wall                       |     1 |       1 |         0 |
| Dragon Egg                         |     1 |       1 |         0 |
| Dried Kelp Block                   |     1 |       1 |         0 |
| Dripstone Block                    |     1 |       1 |         0 |
| End Rod                            |     1 |       1 |         0 |
| End Stone                          |     1 |       1 |         0 |
| End Stone Brick Slab               |     1 |       1 |         0 |
| End Stone Brick Stairs             |     1 |       1 |         0 |
| End Stone Brick Wall               |     1 |       1 |         0 |
| End Stone Bricks                   |     1 |       1 |         0 |
| Fire Coral Block                   |     1 |       1 |         0 |
| Fire Coral Fan                     |     1 |       1 |         0 |
| Flowering Azalea                   |     1 |       1 |         0 |
| Gilded Blackstone                  |     1 |       1 |         0 |
| Glass                              |     1 |       1 |         0 |
| Glowstone                          |     1 |       1 |         0 |
| Granite                            |     1 |       1 |         0 |
| Granite Slab                       |     1 |       1 |         0 |
| Granite Stairs                     |     1 |       1 |         0 |
| Granite Wall                       |     1 |       1 |         0 |
| Gravel                             |     1 |       1 |         0 |
| Gray Stained Glass                 |     1 |       1 |         0 |
| Gray Stained Glass Pane            |     1 |       1 |         0 |
| Gray Terracotta                    |     1 |       1 |         0 |
| Gray Wool                          |     1 |       1 |         0 |
| Green Carpet                       |     1 |       1 |         0 |
| Green Concrete Powder              |     1 |       1 |         0 |
| Green Glazed Terracotta            |     1 |       1 |         0 |
| Green Stained Glass Pane           |     1 |       1 |         0 |
| Green Wool                         |     1 |       1 |         0 |
| Hay Bale                           |     1 |       1 |         0 |
| Heavy Weighted Pressure Plate      |     1 |       1 |         0 |
| Honeycomb Block                    |     1 |       1 |         0 |
| Horn Coral Block                   |     1 |       1 |         0 |
| Horn Coral Fan                     |     1 |       1 |         0 |
| Iron Bars                          |     1 |       1 |         0 |
| Jukebox                            |     1 |       1 |         0 |
| Jungle Leaves                      |     1 |       1 |         0 |
| Jungle Log                         |     1 |       1 |         0 |
| Jungle Planks                      |     1 |       1 |         0 |
| Jungle Slab                        |     1 |       1 |         0 |
| Jungle Stairs                      |     1 |       1 |         0 |
| Large Amethyst Bud                 |     1 |       1 |         0 |
| Lava Bucket                        |     1 |       1 |         0 |
| Lectern                            |     1 |       1 |         0 |
| Light Blue Banner                  |     1 |       1 |         0 |
| Light Blue Carpet                  |     1 |       1 |         0 |
| Light Blue Concrete                |     1 |       1 |         0 |
| Light Blue Concrete Powder         |     1 |       1 |         0 |
| Light Blue Glazed Terracotta       |     1 |       1 |         0 |
| Light Blue Stained Glass           |     1 |       1 |         0 |
| Light Blue Stained Glass Pane      |     1 |       1 |         0 |
| Light Blue Terracotta              |     1 |       1 |         0 |
| Light Blue Wool                    |     1 |       1 |         0 |
| Light Gray Carpet                  |     1 |       1 |         0 |
| Light Gray Concrete                |     1 |       1 |         0 |
| Light Gray Concrete Powder         |     1 |       1 |         0 |
| Light Gray Glazed Terracotta       |     1 |       1 |         0 |
| Light Gray Stained Glass Pane      |     1 |       1 |         0 |
| Light Gray Terracotta              |     1 |       1 |         0 |
| Light Gray Wool                    |     1 |       1 |         0 |
| Lime Carpet                        |     1 |       1 |         0 |
| Lime Concrete                      |     1 |       1 |         0 |
| Lime Concrete Powder               |     1 |       1 |         0 |
| Lime Glazed Terracotta             |     1 |       1 |         0 |
| Lime Stained Glass                 |     1 |       1 |         0 |
| Lime Stained Glass Pane            |     1 |       1 |         0 |
| Lime Wool                          |     1 |       1 |         0 |
| Loom                               |     1 |       1 |         0 |
| Magenta Carpet                     |     1 |       1 |         0 |
| Magenta Concrete Powder            |     1 |       1 |         0 |
| Magenta Glazed Terracotta          |     1 |       1 |         0 |
| Magenta Stained Glass Pane         |     1 |       1 |         0 |
| Magenta Terracotta                 |     1 |       1 |         0 |
| Magenta Wool                       |     1 |       1 |         0 |
| Mangrove Leaves                    |     1 |       1 |         0 |
| Mangrove Trapdoor                  |     1 |       1 |         0 |
| Medium Amethyst Bud                |     1 |       1 |         0 |
| Melon                              |     1 |       1 |         0 |
| Mossy Cobblestone                  |     1 |       1 |         0 |
| Mossy Cobblestone Slab             |     1 |       1 |         0 |
| Mossy Cobblestone Stairs           |     1 |       1 |         0 |
| Mossy Cobblestone Wall             |     1 |       1 |         0 |
| Mossy Stone Brick Slab             |     1 |       1 |         0 |
| Mossy Stone Brick Stairs           |     1 |       1 |         0 |
| Mossy Stone Brick Wall             |     1 |       1 |         0 |
| Mossy Stone Bricks                 |     1 |       1 |         0 |
| Mud Brick Slab                     |     1 |       1 |         0 |
| Mud Brick Stairs                   |     1 |       1 |         0 |
| Mud Brick Wall                     |     1 |       1 |         0 |
| Mud Bricks                         |     1 |       1 |         0 |
| Muddy Mangrove Roots               |     1 |       1 |         0 |
| Mushroom Stem                      |     1 |       1 |         0 |
| Mycelium                           |     1 |       1 |         0 |
| Nether Brick Fence                 |     1 |       1 |         0 |
| Nether Brick Slab                  |     1 |       1 |         0 |
| Nether Brick Stairs                |     1 |       1 |         0 |
| Nether Brick Wall                  |     1 |       1 |         0 |
| Nether Bricks                      |     1 |       1 |         0 |
| Nether Sprouts                     |     1 |       1 |         0 |
| Nether Wart                        |     1 |       1 |         0 |
| Nether Wart Block                  |     1 |       1 |         0 |
| Oak Log                            |     1 |       1 |         0 |
| Oak Planks                         |     1 |       1 |         0 |
| Oak Pressure Plate                 |     1 |       1 |         0 |
| Oak Slab                           |     1 |       1 |         0 |
| Oak Stairs                         |     1 |       1 |         0 |
| Ochre Froglight                    |     1 |       1 |         0 |
| Orange Carpet                      |     1 |       1 |         0 |
| Orange Concrete Powder             |     1 |       1 |         0 |
| Orange Glazed Terracotta           |     1 |       1 |         0 |
| Orange Stained Glass Pane          |     1 |       1 |         0 |
| Orange Terracotta                  |     1 |       1 |         0 |
| Orange Tulip                       |     1 |       1 |         0 |
| Orange Wool                        |     1 |       1 |         0 |
| Packed Mud                         |     1 |       1 |         0 |
| Pearlescent Froglight              |     1 |       1 |         0 |
| Pink Carpet                        |     1 |       1 |         0 |
| Pink Concrete                      |     1 |       1 |         0 |
| Pink Concrete Powder               |     1 |       1 |         0 |
| Pink Glazed Terracotta             |     1 |       1 |         0 |
| Pink Stained Glass                 |     1 |       1 |         0 |
| Pink Stained Glass Pane            |     1 |       1 |         0 |
| Pink Terracotta                    |     1 |       1 |         0 |
| Pink Tulip                         |     1 |       1 |         0 |
| Pink Wool                          |     1 |       1 |         0 |
| Polished Andesite                  |     1 |       1 |         0 |
| Polished Andesite Slab             |     1 |       1 |         0 |
| Polished Andesite Stairs           |     1 |       1 |         0 |
| Polished Basalt                    |     1 |       1 |         0 |
| Polished Blackstone                |     1 |       1 |         0 |
| Polished Blackstone Brick Slab     |     1 |       1 |         0 |
| Polished Blackstone Brick Stairs   |     1 |       1 |         0 |
| Polished Blackstone Brick Wall     |     1 |       1 |         0 |
| Polished Blackstone Bricks         |     1 |       1 |         0 |
| Polished Blackstone Pressure Plate |     1 |       1 |         0 |
| Polished Blackstone Slab           |     1 |       1 |         0 |
| Polished Blackstone Stairs         |     1 |       1 |         0 |
| Polished Blackstone Wall           |     1 |       1 |         0 |
| Polished Deepslate                 |     1 |       1 |         0 |
| Polished Deepslate Slab            |     1 |       1 |         0 |
| Polished Diorite                   |     1 |       1 |         0 |
| Polished Diorite Slab              |     1 |       1 |         0 |
| Polished Diorite Stairs            |     1 |       1 |         0 |
| Polished Granite                   |     1 |       1 |         0 |
| Polished Granite Slab              |     1 |       1 |         0 |
| Polished Granite Stairs            |     1 |       1 |         0 |
| Poppy                              |     1 |       1 |         0 |
| Prismarine                         |     1 |       1 |         0 |
| Prismarine Brick Slab              |     1 |       1 |         0 |
| Prismarine Brick Stairs            |     1 |       1 |         0 |
| Prismarine Bricks                  |     1 |       1 |         0 |
| Prismarine Slab                    |     1 |       1 |         0 |
| Prismarine Stairs                  |     1 |       1 |         0 |
| Prismarine Wall                    |     1 |       1 |         0 |
| Pumpkin                            |     1 |       1 |         0 |
| Purple Carpet                      |     1 |       1 |         0 |
| Purple Concrete                    |     1 |       1 |         0 |
| Purple Concrete Powder             |     1 |       1 |         0 |
| Purple Glazed Terracotta           |     1 |       1 |         0 |
| Purple Stained Glass               |     1 |       1 |         0 |
| Purple Stained Glass Pane          |     1 |       1 |         0 |
| Purple Terracotta                  |     1 |       1 |         0 |
| Purple Wool                        |     1 |       1 |         0 |
| Purpur Block                       |     1 |       1 |         0 |
| Purpur Pillar                      |     1 |       1 |         0 |
| Purpur Slab                        |     1 |       1 |         0 |
| Purpur Stairs                      |     1 |       1 |         0 |
| Quartz Bricks                      |     1 |       1 |         0 |
| Quartz Pillar                      |     1 |       1 |         0 |
| Quartz Slab                        |     1 |       1 |         0 |
| Quartz Stairs                      |     1 |       1 |         0 |
| Red Carpet                         |     1 |       1 |         0 |
| Red Concrete Powder                |     1 |       1 |         0 |
| Red Glazed Terracotta              |     1 |       1 |         0 |
| Red Mushroom                       |     1 |       1 |         0 |
| Red Mushroom Block                 |     1 |       1 |         0 |
| Red Nether Brick Slab              |     1 |       1 |         0 |
| Red Nether Brick Stairs            |     1 |       1 |         0 |
| Red Nether Brick Wall              |     1 |       1 |         0 |
| Red Nether Bricks                  |     1 |       1 |         0 |
| Red Sand                           |     1 |       1 |         0 |
| Red Sandstone                      |     1 |       1 |         0 |
| Red Sandstone Slab                 |     1 |       1 |         0 |
| Red Sandstone Stairs               |     1 |       1 |         0 |
| Red Sandstone Wall                 |     1 |       1 |         0 |
| Red Stained Glass Pane             |     1 |       1 |         0 |
| Red Terracotta                     |     1 |       1 |         0 |
| Red Wool                           |     1 |       1 |         0 |
| Rooted Dirt                        |     1 |       1 |         0 |
| Sandstone                          |     1 |       1 |         0 |
| Sandstone Slab                     |     1 |       1 |         0 |
| Sandstone Stairs                   |     1 |       1 |         0 |
| Sandstone Wall                     |     1 |       1 |         0 |
| Sculk                              |     1 |       1 |         0 |
| Shroomlight                        |     1 |       1 |         0 |
| Smithing Table                     |     1 |       1 |         0 |
| Smooth Basalt                      |     1 |       1 |         0 |
| Smooth Red Sandstone               |     1 |       1 |         0 |
| Smooth Red Sandstone Slab          |     1 |       1 |         0 |
| Smooth Red Sandstone Stairs        |     1 |       1 |         0 |
| Smooth Sandstone                   |     1 |       1 |         0 |
| Smooth Sandstone Slab              |     1 |       1 |         0 |
| Smooth Sandstone Stairs            |     1 |       1 |         0 |
| Smooth Stone                       |     1 |       1 |         0 |
| Soul Campfire                      |     1 |       1 |         0 |
| Soul Lantern                       |     1 |       1 |         0 |
| Soul Torch                         |     1 |       1 |         0 |
| Spruce Leaves                      |     1 |       1 |         0 |
| Stone                              |     1 |       1 |         0 |
| Stone Brick Slab                   |     1 |       1 |         0 |
| Stone Bricks                       |     1 |       1 |         0 |
| Stone Pressure Plate               |     1 |       1 |         0 |
| Stonecutter                        |     1 |       1 |         0 |
| Stripped Warped Stem               |     1 |       1 |         0 |
| Terracotta                         |     1 |       1 |         0 |
| Torch                              |     1 |       1 |         0 |
| Tube Coral Block                   |     1 |       1 |         0 |
| Tuff                               |     1 |       1 |         0 |
| Twisting Vines                     |     1 |       1 |         0 |
| Warped Button                      |     1 |       1 |         0 |
| Warped Fungus                      |     1 |       1 |         0 |
| Warped Hyphae                      |     1 |       1 |         0 |
| Warped Planks                      |     1 |       1 |         0 |
| Warped Roots                       |     1 |       1 |         0 |
| Warped Sign                        |     1 |       1 |         0 |
| Warped Slab                        |     1 |       1 |         0 |
| Warped Stairs                      |     1 |       1 |         0 |
| Warped Stem                        |     1 |       1 |         0 |
| Warped Trapdoor                    |     1 |       1 |         0 |
| Warped Wart Block                  |     1 |       1 |         0 |
| Waxed Block of Copper              |     1 |       1 |         0 |
| Waxed Oxidized Copper              |     1 |       1 |         0 |
| White Concrete Powder              |     1 |       1 |         0 |
| White Glazed Terracotta            |     1 |       1 |         0 |
| White Terracotta                   |     1 |       1 |         0 |
| White Tulip                        |     1 |       1 |         0 |
| White Wool                         |     1 |       1 |         0 |
| Yellow Carpet                      |     1 |       1 |         0 |
| Yellow Concrete Powder             |     1 |       1 |         0 |
| Yellow Glazed Terracotta           |     1 |       1 |         0 |
| Yellow Stained Glass Pane          |     1 |       1 |         0 |
| Yellow Terracotta                  |     1 |       1 |         0 |
| Yellow Wool                        |     1 |       1 |         0 |
+------------------------------------+-------+---------+-----------+
| Item                               | Total | Missing | Available |
+------------------------------------+-------+---------+-----------+
